match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,margin,highscore,match_winner,won_by,player_of_the_match,top_scorer,best_bowling,best_bowling_figure
63,"May 15,2022","Brabourne Stadium, Mumbai",Lucknow,Rajasthan,Group,Rajasthan,Bat,178,6,154,8,24,59,Rajasthan,Runs,Trent Boult,Deepak Hooda,Trent Boult,2--18
64,"May 16,2022","Dr DY Patil Sports Academy, Mumbai",Delhi,Punjab,Group,Punjab,Field,159,7,142,9,17,63,Delhi,Runs,Shardul Thakur,Mitchell Marsh,Shardul Takur,4--36
65,"May 17,2022","Wankhede Stadium, Mumbai",Hyderabad,Mumbai,Group,Mumbai,Field,193,6,190,7,3,76,Hyderabad,Runs,Rahul Tripathi,Rahul Tripathi,Ramandeep Singh,3--20
66,"May 18,2022","Dr DY Patil Sports Academy, Mumbai",Kolkata,Lucknow,Group,Lucknow,Bat,210,0,208,8,2,140,Lucknow,Runs,Quinton de Kock,Quinton de Kock,Mohsin Khan,3--20
67,"May 19,2022","Wankhede Stadium, Mumbai",Banglore,Gujarat,Group,Gujarat,Bat,168,5,170,2,8,73,Banglore,Wickets,Virat Kohli,Virat Kohli,Rashid Khan,2--32
68,"May 20,2022","Brabourne Stadium, Mumbai",Chennai,Rajasthan,Group,Chennai,Bat,150,6,151,5,5,93,Rajasthan,Wickets,R Aswin,Moeen Ali,Prashant Solanki,2--20
69,"May 21,2022","Wankhede Stadium, Mumbai",Delhi,Mumbai,Group,Mumbai,Field,159,7,160,5,5,48,Mumbai,Wickets,Jasprit Bumrah,Ishan Kishan,Jasprit Bumrah,3--25
70,"May 22,2022","Wankhede Stadium, Mumbai",Hyderabad,Punjab,Group,Hyderabad,Bat,157,8,160,5,5,49,Punjab,Wickets,Harpreet Brar,Liam Livingstone,Harpreet Brar,3--26
71,"May 24,2022","Eden Gardens, Kolkata",Gujarat,Rajasthan,Playoff,Gujarat,Field,188,6,191,3,7,89,Gujarat,Wickets,David Miller,Jos Buttler,Hardik Pandya,1--14
72,"May 25,2022","Eden Gardens, Kolkata",Banglore,Lucknow,Playoff,Lucknow,Field,207,4,193,6,14,112,Banglore,Runs,Rajat Patidar,Rajat Patidar,Josh Hazlewood,3--43
73,"May 27,2022","Narendra Modi Stadium, Ahmedabad",Banglore,Rajasthan,Playoff,Rajasthan,Field,157,8,161,3,7,106,Rajasthan,Wickets,Jos Buttler,Jos Buttler,Prasidh Krishna,3--22
74,"May 29,2022","Narendra Modi Stadium, Ahmedabad",Gujarat,Rajasthan,Final,Rajasthan,Bat,130,9,133,3,7,45,Gujarat,Wickets,Hardik Pandya,Shubman Gill,Hardik Pandya,3--17
